group_id	user_id	image_id	cluster_image_name	timestamp
65	766	78	140296049214672_20.jpe	1535252837000
111	196	68	140296049216336_12.jpe	1535258594000
15	196	68	140296049216336_12.jpe	1535258595000
78	912	22	140067876230160.jpe	1535269004000
78	912	51	139902213105424_7.jpe	1535269011000
78	912	101	139875164269392_5.jpe	1535269033000
176	606	103	140492857794832.jpe	1535290157000
119	670	22	140067876230160.jpe	1535314032000
119	670	101	139875164269392_5.jpe	1535316093000
119	670	12	140216935626000.jpe	1535318307000
62	452	78	140296049214672_20.jpe	1535328443000
3	140	22	140067876230160.jpe	1535343192000
125	169	78	140296049214672_20.jpe	1535343856000
64	670	12	140216935626000.jpe	1535392576000
64	670	22	140067876230160.jpe	1535394008000
64	670	101	139875164269392_5.jpe	1535394162000
76	354	78	140296049214672_20.jpe	1535398457000
43	380	56	140296049217040_19.jpe	1535400991000
43	380	56	140296049217040_19.jpe	1535401032000
43	133	103	140492857794832.jpe	1535405690000
43	133	104	140492801004624.jpe	1535405699000
15	26	78	140296049214672_20.jpe	1535406917000
64	148	78	140296049214672_20.jpe	1535409184000
64	552	78	140296049214672_20.jpe	1535413395000
1	73	22	140067876230160.jpe	1535416818000
1	73	51	139902213105424_7.jpe	1535416903000
1	73	12	140216935626000.jpe	1535417072000
1	73	101	139875164269392_5.jpe	1535417149000
99	55	78	140296049214672_20.jpe	1535417164000
60	79	78	140296049214672_20.jpe	1535420765000
119	79	78	140296049214672_20.jpe	1535420766000
76	329	78	140296049214672_20.jpe	1535427005000
86	254	78	140296049214672_20.jpe	1535428054000
59	254	78	140296049214672_20.jpe	1535428054000
129	654	78	140296049214672_20.jpe	1535467531000
26	398	52	140311755257616_2.jpe	1535588672000
95	589	52	140311755257616_2.jpe	1535648235000
36	589	52	140311755257616_2.jpe	1535648246000
162	131	117	139875185834320_8.jpe	1535649928000
111	797	52	140311755257616_2.jpe	1535650062000
99	177	52	140311755257616_2.jpe	1535654010000
132	697	117	139875185834320_8.jpe	1535656135000
